Color,Time,Block,Treatment,Particles
Green,0,1,Acclimatation,2037
Green,10,1,Acclimatation,1804
Green,20,1,Acclimatation,1677
Green,30,1,Acclimatation,1550
Green,0,2,Acclimatation,2276
Green,10,2,Acclimatation,2030
Green,20,2,Acclimatation,1836
Green,30,2,Acclimatation,1815
Green,0,3,Acclimatation,2065
Green,10,3,Acclimatation,1999
Green,20,3,Acclimatation,1759
Green,30,3,Acclimatation,1736
Green,0,4,Acclimatation,2004
Green,10,4,Acclimatation,1958
Green,20,4,Acclimatation,1856
Green,30,4,Acclimatation,2109
White,0,1,Acclimatation,2312
White,10,1,Acclimatation,2140
White,20,1,Acclimatation,1912
White,30,1,Acclimatation,1906
White,0,2,Acclimatation,2261
White,10,2,Acclimatation,2063
White,20,2,Acclimatation,1803
White,30,2,Acclimatation,1788
White,0,3,Acclimatation,2482
White,10,3,Acclimatation,2122
White,20,3,Acclimatation,2100
White,30,3,Acclimatation,2097
White,0,4,Acclimatation,3207
White,10,4,Acclimatation,2718
White,20,4,Acclimatation,2551
White,30,4,Acclimatation,2271
Dark,0,1,Acclimatation,1813
Dark,10,1,Acclimatation,1753
Dark,20,1,Acclimatation,1801
Dark,30,1,Acclimatation,1491
Dark,0,2,Acclimatation,2279
Dark,10,2,Acclimatation,2056
Dark,20,2,Acclimatation,2085
Dark,30,2,Acclimatation,2006
Dark,0,3,Acclimatation,2010
Dark,10,3,Acclimatation,1873
Dark,20,3,Acclimatation,1681
Dark,30,3,Acclimatation,1437
Dark,0,4,Acclimatation,1715
Dark,10,4,Acclimatation,1581
Dark,20,4,Acclimatation,1393
Dark,30,4,Acclimatation,1300
Red,0,1,Acclimatation,2003
Red,10,1,Acclimatation,1983
Red,20,1,Acclimatation,1963
Red,30,1,Acclimatation,1751
Red,0,2,Acclimatation,1835
Red,10,2,Acclimatation,1691
Red,20,2,Acclimatation,1582
Red,30,2,Acclimatation,1513
Red,0,3,Acclimatation,2033
Red,10,3,Acclimatation,1691
Red,20,3,Acclimatation,1662
Red,30,3,Acclimatation,1528
Red,0,4,Acclimatation,1877
Red,10,4,Acclimatation,1755
Red,20,4,Acclimatation,1726
Red,30,4,Acclimatation,1577